author,image,quote
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,No problem can be solved from the same level of consciousness that created it.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,Your imagination is your preview of life's coming attractions.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,"If you can't explain it simply, you don't understand it well enough."
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,Life is like riding a bicycle. To keep your balance you must keep moving.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,Imagination is more important than knowledge.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,Science can flourish only in an atmosphere of free speech. 
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,"He who can no longer pause to wonder and stand rapt in awe, is as good as dead; his eyes are closed. "
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,Creativity is intelligence having fun.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,In the middle of difficulty lies opportunity.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,"All religions, arts and sciences are branches of the same tree. "
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,The important thing is not to stop questioning. Curiosity has its own reason for existing.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,Insanity: doing the same thing over and over again and expecting different results.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,I am thankful to all who said no to me. It is because of them that I'm doing it myself.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,Imagination is everything. It is the preview of life's coming attractions.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,Don't listen to the person who has the answers; listen to the person who has the questions.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,The person who never made a mistake never tried anything new.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,There are only two ways to live your life. One is as if nothing is a miracle. The other is as if everything is a miracle.
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,"Try not to become a man of success, but rather try to become a man of value."
Albert Einstein,https://zenquotes.io/img/albert-einstein.jpg,He who is untrue to his own cause cannot command the respect of others.
