heart_count,quote
706,"War is when the government tells you who the bad guy is. 
Revolution is when you decide that for yourself."
346,"He who would trade liberty for some temporary security, deserves neither liberty nor security."
529,"If everyone is thinking alike, then no one is thinking."
502,Whoever would overthrow the liberty of a nation must begin by subduing the freeness of speech.
43,"A slip of the foot you may soon recover, but a slip of the tongue you may never get over."
181,"We are all born ignorant, but one must work hard to remain stupid."
11,"Speak little, do much."
985,"The best thing to give to your enemy is forgiveness; to an opponent, tolerance; to a friend, your heart; to your child, a good example; to a father, deference; to your mother, conduct that will make her proud of you; to yourself, respect; to all others, charity."
73,The only thing that is more expensive than education is ignorance.
202,Make yourself sheep and the wolves will eat you.
20,"There are many roads to success, but only one sure road to failure; and that is to try to please everyone else."
227,It is the first responsibility of every citizen to question authority.
135,"Remember not only to say the right thing in the right place, but far more difficult still, to leave unsaid the wrong thing at the tempting moment."
47,"Only a virtuous people are capable of freedom. As nations become corrupt and vicious, they have more need of masters."
66,Life's Tragedy is that we get old too soon and wise too late.
490,"When you get into a tight place and everything goes against you, till it seems as though you could not hold on a minute longer, never give up then, for that is just the place and time that the tide will turn.
When you're down to nothing, God is up to something. The faithful see the invisible, believe the incredible and then receive the impossible.
Where liberty dwells there is my country."
62,"When you are good to others, you are best to yourself."
257,Security without liberty is called prison.
246,"Freedom is not a gift bestowed upon us by other men, but a right that belongs to us by the laws of God and nature."
300,"Little minds think and talk about people. 
 Average minds think and talk about things and actions. 
 Great minds think and talk about ideas."
282,"Tricks and treachery are the practice of fools, that don't have brains enough to be honest."
105,Genius is the ability to hold one's vision steady until it becomes reality
85,Beware of little expenses. A small leak will sink a great ship.
99,"When the well is dry, we know the worth of water."
106,Hide not your talents. They for use were made. What's a sundial in the shade?
75,There are two ways to increase your wealth. Increase your means or decrease your wants. The best is to do both at the same time.
94,"All highly competent people continually search for ways to keep learning, growing, and improving. They do that by asking WHY. After all, the person who knows HOW will always have a job, but the person who knows WHY will always be the boss."
133,"Money has never made man happy, nor will it, there is nothing in its nature to produce happiness. The more of it one has the more one wants."
57,"To succeed, jump as quickly at opportunities as you do at conclusions."
28,"Here is my Creed. I believe in one God, creator of the Universe. That he governs it by his Providence. That he ought to be worshiped. That the most acceptable service we render him is doing good to his other children. That the soul of Man is immortal, and will be treated with justice in another life respecting its conduct in this."
32,Man will ultimately be governed by God or by tyrants.
45,"Common sense without education, is better than education without common sense."
28,A good example is the best sermon.
10,"Joy doesn't exist in the world, it exists in us."
166,"Being ignorant is not so much a shame, as being unwilling to learn."
15,You must always be prepared. Make sure to look at things from all angles. If you are not prepared you will fail.
62,Either write something worth reading or do something worth writing.
20,Wise men don't need advice. Fools won't take it.
39,"The heart of a fool is in his mouth, but the mouth of a wise man is in his heart."
186,"If you do tomorrow what you did today , you will get tomorrow what you got today"
48,"This [the U.S. Constitution] is likely to be administered for a course of years and then end in despotism... when the people shall become so corrupted as to need despotic government, being incapable of any other."
17,"A long life may not be good enough, but a good life is long enough."
134,Those who beat their swords into plowshares usually end up plowing for those who kept their swords.
3,In success be moderate.
272,Believe none of what you hear and half of what you see.
6,"The Difficulty lies, in finding out an exact Measure but eat for Necessity, not Pleasure, for Lust knows not where Necessity ends."
80,The best of all medicines is resting and fasting
59,Change is the only constant in life. Ones ability to adapt to those changes will determine your success in life.
207,Happiness depends more on the inward disposition of mind than on outward circumstances.
407,I never knew a man who was good at making excuses who was good at anything else.
45,The problem with doing nothing is not knowing when you're finished.
5,"He that would travel much, should eat little."
64,"Thirteen virtues necessary for true success: temperance, silence, order, resolution, frugality, industry, sincerity, justice, moderation, cleanliness, tranquility, chastity, and humility."
314,Justice will not be served until those who are unaffected are as outraged as those who are.
497,"Common sense is something that everyone needs, few have, and none think they lack."
108,"For every minute spent in organizing, an hour is earned."
17,Motivation is when your dreams put on work clothes
41,The best doctor gives the least medicines.
40,"Fart for freedom, fart for liberty—and fart proudly."
148,"I am for doing good to the poor, but I differ in opinion about the means. I think the best way of doing good to the poor is not making them easy in poverty, but leading or driving them out of it."
166,"Freedom of speech is a principal pillar of a free government; when this support is taken away, the constitution of a free society is dissolved, and tyranny is erected on its ruins. Republics and limited monarchies derive their strength and vigor from a popular examination into the action of the magistrates."
63,"God heals, and the doctor takes the fees."
77,Never ruin an apology with an excuse.
19,The world is run by the people who show up.
253,"In free governments the rulers are the servants, and the people their superiors and sovereigns."
10,Do not fear mistakes.
71,"How do you become better tomorrow? By improving yourself, the world is made better. Be not afraid of growing too slowly. Be afraid of standing still. Forget your mistakes, but remember what they taught you. So how do you become better tomorrow? By becoming better today."
14,People are best convinced by things they themselves discover.
133,"The ordaining of laws in favor of one part of the nation, to the prejudice and oppression of another, is certainly the most erroneous and mistaken policy. An equal dispensation of protection, rights, privileges, and advantages, is what every part is entitled to, and ought to enjoy."
151,"Fear God, and your enemies will fear you."
25,"To lengthen thy life, lessen thy meals."
95,"Take the money in your wallet and invest it in your mind. And in return, your mind will fill up your wallet!"
169,"A Brother may not be a Friend, but a Friend will always be a Brother."
35,He that is of the opinion money will do everything may well be suspected of doing everything for money.
21,"Great beauty, great strength, and great riches are really and truly of no great use; a right heart exceeds all"
42,Two passions have powerful influence on the affairs of men: the love of power and the love of money.
123,"The U. S. Constitution doesn't guarantee happiness, only the pursuit of it. You have to catch up with it yourself."
373,"They that can give up essential liberty to purchase a little temporary safety, deserve neither liberty nor safety."
115,"The man who does things makes mistakes, but he doesn't make the biggest mistake of all-doing nothing."
140,Well done is better than well said.
8,Never confuse motion with action.
34,Half the truth is often a great lie.
54,"Instead of cursing the darkness, light a candle."
567,"Women are books, and men the readers be."
67,"If all printers were determined not to print anything till they were sure it would offend nobody, there would be very little printed."
22,"He that would live in peace and at ease, must not speak all he knows nor judge all he sees."
8,whatever you become be good at it
147,Lost time is never found again.
350,"Without freedom of thought, there can be no such thing as wisdom; and no such thing as public liberty without freedom of speech; which is the right of every man as far as by it he does not hurt or control the right of another; and this is the only check it ought to suffer and the only bounds it ought to know.... Whoever would overthrow the liberty of a nation must begin by subduing the freedom of speech, a thing terrible to traitors."
57,"To find out a girl's faults, praise her to her girlfriends."
17,"The man that walks wit crowd, will get no farther than the crowd. The man that walks alone, will reach places unknown."
59,Beer is proof that God wants us to be happy
89,Beware of the young doctor and the old barber.
71,"Any fool can criticize, condemn and complain - and most fools do."
27,Doing your best means never stop trying.
113,"By improving yourself, the world is made better. Be not afraid of growing too slowly. Be afraid only of standing still."
8,"If better is possible, good is not enough"
9,"Do you love life? Then don't waste time, because time is life!"
16,"Eat what you like, but dress for other people."
155,"How few there are who have courage enough to own their faults, or resolution enough to mend them."
41,"If you want something done, ask a busy person."
58,The Constitution only guarantees the American people the right to pursue happiness. You have to catch it yourself.
90,"The rapid progress of the sciences makes me sorry, at times, that I was born so soon. Imagine the power that man will have over matter, a few hundred years from now. We may learn how to remove gravity from large masses, and float them over great distances. Agriculture will double its produce with less labor. All diseases will surely be cured... even old age. If only the moral sciences could be improved as well. Perhaps men would cease to be wolves to one another... and human beings could learn to be human."
22,He that displays too often his wife and his wallet is in danger of having both of them borrowed.
8,It is better to let 100 criminals go free than to imprison 1 innocent man.
72,Whatever is begun in anger ends in shame.
106,Rebellion against tyrants is obedience to God.
118,"Those who would give up essential Liberty, to purchase a little temporary Safety, deserve neither Liberty nor Safety."
202,Most men die from the neck up at age twenty-five because they stop dreaming.
16,Who is strong? He that can conquer his bad habits.
115,"I have lived, Sir, a long time and the longer I live, the more convincing proofs I see of this truth -- that God governs in the affairs of men. And if a sparrow cannot fall to the ground without his notice, is it probable that an empire can rise without his aid? We have been assured, Sir, in the sacred writings that ""except the Lord build they labor in vain that build it."" I firmly believe this; and I also believe that without his concurring aid we shall succeed in this political building no better than the Builders of Babel"
17,A false friend and a shadow attend only while the sun shines.
5,"Fools need advice most, but wise men only are the better for it."
50,Who is wise? He that learns from everyone. Who is powerful? He that governs his passions. Who is rich? He that is content. Who is that? Nobody.
14,"If you fail to plan, you are planning to fail!"
20,Be cheerful -- the problems that worry us most are those that never arrive.
168,A nation of well-informed men who have been taught to know and prize the rights which God has given them cannot be enslaved. It is in the region of ignorance that tyranny begins.” Benjamin Franklin
70,The noblest question in the world is: 'What good may I do in it?'
7,Our whole life is but a greater and longer childhood.
22,"Speak ill of no man, but speak all the good you know of everybody."
93,"Most men die at 25, we just don't bury them until they are 70."
24,"Many a man thinks he is buying pleasure, when he is really selling himself to it."
6,The best tranquilizer is a clear conscience.
100,"Guests, like fish, begin to smell after three days."
14,"History affords us many instances of the ruin of states,
by the prosecution of measures ill suited to the temper and
genius of their people. The ordaining of laws in favor of one
part of the nation, to the prejudice and oppression of another, is certainly the most erroneous and mistaken policy. ... These measures never fail to create great and violent jealousies and animosities between the people favored and the people oppressed; whence a total separation of affections, interests, political obligations, and all manner of connections, by which the whole state is weakened."
26,"We constantly change the world, even by our inaction. Therefore, let us change it responsibly."
7,"There is scarce a king in a hundred who would not, if he could, follow the example of Pharoah - get first all the people's money, then all their lands, and then make them and their children servants forever."
11,"If you would persuade, you must appeal to interest rather than intellect."
35,"In my youth, I traveled much, and I observed in different countries, that the more public provisions were made for the poor, the less they provided for themselves, and of course became poorer. And, on the contrary, the less was done for them, the more they did for themselves, and became richer."
35,"All mankind is divided into three classes: those that are immovable, those that are movable, and those that move."
14,Those who laugh often never grow old.
31,"When you're finished changing, you're finished."
21,Rather go to bed with out dinner than to rise in debt.
15,A people who chose security over liberty will receive neither nor deserve either.
15,"Who is wise?
He that learns from everyone."
35,Success is the residue of planning.
24,Money makes money. And the money that makes money makes more money.
86,"Love your Enemies, for they tell you your Faults."
43,"Reading makes a full man, meditation a profound man, discourse a clear man."
92,"Do not anticipate trouble, or worry about what may never happen. Keep in the sunlight."
24,"I wake up every morning at nine and grab for the morning paper. Then I look at the obituary page. If my name is not on it, I get up."
16,Arguing is a game that two can play at. But it is a strange game in that neither opponent ever wins.
59,"The way to secure peace is to be prepared for war. They that are on their guard, and appear ready to receive their adversaries, are in much less danger of being attacked, than the supine, secure, and negligent."
16,One day is worth a thousand tomorrows.
13,The height of foolishness is to discard an opportunity without full investigation
19,"Your argument is sound, nothing but sound."
12,"Sell not virtue to purchase wealth, nor liberty to purchase power."
7,Out of adversity comes opportunity.
23,"An investment in knowledge pays the best interest. When it comes to investing, nothing will pay off more than educating yourself. Do the necessary research, study and analysis before making any investment decisions."
25,There is much difference between imitating a good man and counterfeiting him.
38,"Repeal that [welfare] law, and you will soon see a change in their manners. ... Six days shalt thou labor, though one of the old commandments long treated as out of date, will again be looked upon as a respectable precept; industry will increase, and with it plenty among the lower people; their circumstances will mend, and more will be done for their happiness by inuring them to provide for themselves, than could be done by dividing all your estates among them."
33,"There seem to be but three ways for a nation to acquire wealth. The first is by war, as the Romans did, in plundering their conquered neighbors. This is robbery. The second by commerce, which is generally cheating. The third by agriculture, the only honest way, wherein man receives a real increase of the seed thrown into the ground, in a kind of continual miracle, wrought by the hand of God in his favor, as a reward for his innocent life and his virtuous industry."
61,"Without Freedom of thought there can be no such thing as wisdom;and no such thing as public liberty, without freedom of speech."
83,"Be studious in your profession, and you will be learned. Be industrious and frugal, and you will be rich. Be sober and temperate, and you will be healthy. Be in general virtuous, and you will be happy."
64,"You may delay, but time will not."
46,"That which hurts, also instructs."
10,A good spouse and health is a person's best wealth.
47,An ounce of prevention is worth a pound of cure.
63,"I didn't fail the test, I just found 100 ways to do it wrong."
7,You can't tell anyone anything. You have to teach people for them to remember. Let the person experience what you are teaching and they will learn.
78,"Educate your children to self-control, to the habit of holding passion and prejudice and evil tendencies subject to an upright and reasoning will, and you have done much to abolish misery from their future and crimes from society."
26,"Everybody's human-everybody makes mistakes. If you laugh it off and keep going and try to give it your best the next time around, people respect that."
5,"When you speak to a man, look on his eyes; when he speaks to you, look on his mouth."
97,A good conscience is a continual Christmas.
36,"The learned fool writes his nonsense in better language than the unlearned, but it is still nonsense."
54,Silence - Speak not but what may benefit others or yourself; avoid trifling conversation.
33,"I am a mortal enemy to arbitrary government and unlimited power. I am naturally very jealous for the rights and liberties of my country, and the least encroachment of those invaluable privileges is apt to make my blood boil."
5,Great hopes make everything great possible
8,"Marriage is the most natural state of man, and therefore the state in which one is most likely to find solid happiness."
20,"If you watch your pennies, the pounds will take care of themselves."
26,"The way to wealth depends on just two words, industry and frugality."
9,He's a fool who cannot conceal his wisdom.
78,"He that cannot obey, cannot command."
15,you can do anything you set your mind to
61,Genius is nothing but a greater aptitude for patience.
17,It is very hard to dislike someone you have helped
19,"A lie stands on one leg, truth on two."
54,He that is good for making excuses is seldom good for anything else.
30,The rotten apple spoils his companion.
15,Lose no time; be always employed in something useful.
18,Your net worth to the world is usually determined by what remains after your bad habits are subtracted from your good ones.
6,"If you want to make a friend, let someone do you a favor."
24,Wars are not paid for in wartime. The bill comes later.
9,"In these sentiments, sir, I agree to this Constitution, with all its faults, if they are such; because I think a General Government necessary for us, and there is no form of government, but what may be a blessing to the people if well administered; and believe further, that this is likely to be well administered for a course of years, and can only end in despotism, as other forms have done before it, when the people shall become so corrupted as to need despotic government, being incapable of any other."
53,"Eat to live, not live to eat."
61,"Sin is not hurtful because it is forbidden,
but it is forbidden because it is hurtful."
161,"Early to bed and early to rise makes a man healthy, wealthy and wise."
50,The way to see by Faith is to shut the Eye of Reason.
91,People willing to trade their freedom for temporary security deserve neither and will lose both.
4,"When you are in debt, then you are a slave."
9,"I saw few die of hunger; of eating, a hundred thousand."
9,"Many complain of their memory, few of their judgment."
24,"If a man could have half of his wishes, he would double his troubles."
22,"Without continual growth and progress, such words as improvement, achievement, and success have no meaning."
46,"How many observe Christ's birthday! How few, His precepts!"
40,No gains without pains.
57,"Be slow in choosing a friend, slower in changing."
26,Let each new year find you a better person.
26,Clean your finger before you point at my spots.
10,"A man must have a good deal of vanity who believes, and a good deal of boldness who affirms, that all the doctrines he holds are true, and all he rejects are false."
18,"Outside Independence Hall when the Constitutional Convention of 1787 ended, Mrs. Powel of Philadelphia asked Benjamin Franklin, ""Well, Doctor, what have we got, a republic or a monarchy?"" With no hesitation whatsoever, Franklin responded, ""A republic, if you can keep it."""
26,"Freedom of speech is the great bulwark of liberty; they prosper and die together: And it is the terror of traitors and oppressors, and a barrier against them. It produces excellent writers, and encourages men of fine genius."
8,"Among the numerous luxuries of the table...coffee may be considered as one of the most valuable. It excites cheerfulness without intoxication; and the pleasing flow of spirits which it occasions...is never followed by sadness, languor or debility."
53,It is easier to prevent bad habits than to break them.
33,Time is money'... Waste it now. Pay for it later!
28,An education is the investment with the greatest returns.
7,"There are three sorts of people in the world: Those who are immovable, people who don't get it, or don't want to do anything about it; there are people who are movable, people who see the need for change and are prepared to listen to it; and there are people who move, people who make things happen."
22,"If you would know the value of money, go and try to borrow some."
79,The doorstep to the temple of wisdom is a knowledge of our own ignorance.
21,"Beware of meat twice boiled, and an old foe reconciled."
18,You will find the key to success under the alarm clock.
8,Time is an herb that cures all Diseases.
12,If you want a thing done - go. If not - send.
8,"Don't throw stones at your neighbors, if your own windows are glass."
17,"By playing at Chess then, we may learn... First: Foresight. Second: Circumspection. Third: Caution."
8,"Virtue alone is sufficient to make a man great, glorious, and happy."
25,The strictest law sometimes becomes the severest injustice.
