heart_count,quote
968,There will always be rocks in the road ahead of us. They will be stumbling blocks or stepping stones; it all depends on how you use them.
1281,Sometimes people don't want to hear the truth because they don't want their illusions destroyed.
618,Nobody is more inferior than those who insist on being equal.
1098,"There are two different types of people in the world, those who want to know, and those who want to believe."
1040,"I was in darkness, but I took three steps and found myself in paradise. The first step was a good thought, the second, a good word; and the third, a good deed."
478,"To live is to suffer, to survive is to find some meaning in the suffering."
551,And those who were seen dancing were thought to be insane by those who could not hear the music.
763,"You have your way. I have my way. As for the right way, the correct way, and the only way, it does not exist."
281,I know of no better life purpose than to perish in attempting the great and the impossible.
703,Enjoy life. This is not a dress rehearsal.
720,"I'm not upset that you lied to me, I'm upset that from now on I can't believe you."
499,"Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss, the abyss will gaze back into you."
182,The tree that would grow to heaven must send its roots to hell.
31,"What is the truth, but a lie agreed upon."
369,The higher we soar the smaller we appear to those who cannot fly.
452,Do you want to have an easy life? Then always stay with the herd and lose yourself in the herd.
306,No price is too high to pay for the privilege of owning yourself.
397,The snake which cannot cast its skin has to die. As well the minds which are prevented from changing their opinions; they cease to be mind.
50,Be careful who you choose as your enemy because that's who you become most like.
75,"If the all powerful god controls satan he is an accomplice, and if he doesn't, he is not an all powerful god."
50,Be careful when you cast out your demons that you don’t throw away the best of yourself.
73,Silence is worse; all truths that are kept silent become poisonous.
310,"The world is beautiful, but has a disease called man."
181,Everything matters. Nothing's important.
80,All things are subject to interpretation whichever interpretation prevails at a given time is a function of power and not truth.
501,"Young people love what is interesting and odd, no matter how true or false it is. More mature minds love what is interesting and odd about truth. Fully mature intellects, finally, love truth, even when it appears plain and simple, boring to the ordinary person; for they have noticed that truth tends to reveal its highest wisdom in the guise of simplicity."
471,Love your enemies because they bring out the best in you.
176,He who cannot obey himself will be commanded. That is the nature of living creatures.
432,you must be ready to burn yourself in your own flame; how could you rise anew if you have not first become ashes?
323,"There are no facts, only interpretations."
257,"In loneliness, the lonely one eats himself; in a crowd, the many eat him. Now choose."
498,"The Great Man... is colder, harder, less hesitating, and without fear of 'opinion'; he lacks the virtues that accompany respect and 'respectability,' and altogether everything that is the 'virtue of the herd.' If he cannot lead, he goes alone... He knows he is incommunicable: he finds it tasteless to be familiar... When not speaking to himself, he wears a mask. There is a solitude within him that is inaccessible to praise or blame."
20,Those who are devoid of purpose will make the void their purpose.
91,One should die proudly when it is no longer possible to live proudly.
107,"Be careful when you fight the monsters, lest you become one."
90,Men who think deeply appear to be comedians in their dealings with others because they always have to feign superficiality in order to be understood.
195,One must still have chaos in oneself to be able to give birth to a dancing star.
177,"One can promise actions, but not feelings, for the latter are involuntary. He who promises to love forever or hate forever or be forever faithful to someone is promising something that is not in his power."
236,"Insanity in individuals is something rare - but in groups, parties, nations and epochs, it is the rule."
324,"Everything the State says is a lie, and everything it has it has stolen."
80,Is it better to out-monster the monster or to be quietly devoured?
173,There's no defense against stupidity.
157,"Nobody can build the bridge for you to walk across the river of life, no one but you yourself alone. There are, to be sure, countless paths and bridges and demi-gods which would carry you across this river; but only at the cost of yourself; you would pawn yourself and lose. There is in the world only one way, on which nobody can go, except you: where does it lead? Do not ask, go along with it."
665,"The true man wants two things: danger and play. For that reason he wants woman, as the most dangerous plaything."
141,The real question is: How much truth can I stand?
503,"My solitude doesn’t depend on the presence or absence of people; on the contrary, I hate who steals my solitude without, in exchange, offering me true company."
298,Call me whatever you like; I am who I must be.
70,I cannot believe in a God who wants to be praised all the time.
28,"What is the difference between someone who is convinced and one who is deceived? None, if he is well deceived."
103,Solitude makes us tougher towards ourselves and tenderer towards others. In both ways it improves our character.
41,"Few are made for independence, it is the privilege of the strong."
47,Become who you are. Make what only you can make.
161,"The discipline of suffering, of great suffering- do you not know that only this discipline has created all enhancements of man so far? That tension of the soul in unhappiness which cultivates its strength, its shudders face to face with great ruin, its inventiveness and courage in enduring, preserving, interpreting, and exploiting suffering, and whatever has been granted to it of profundity, secret, mask, spirit, cunning, greatness- was it not granted to it through suffering, through the discipline of great suffering?"
109,Man is the only animal that must be encouraged to live.
169,"So long as men praise you, you can only be sure that you are not yet on your own true path but on someone else's."
166,Every deep thinker is more afraid of being understood than of being misunderstood.
249,"When marrying, ask yourself this question: Do you believe that you will be able to converse well with this person into your old age? Everything else in marriage is transitory."
97,Our greatest experiences are our quietest moments.
94,Only he who is man enough will release the woman in woman.
