heart_count,quote
309,No amount of evidence will ever persuade an idiot
1526,"Politicians and diapers must be changed often, and for the same reason."
1613,"Life is short, Break the Rules. Forgive quickly, Kiss slowly. Love truly. Laugh uncontrollably And never regret ANYTHING That makes you smile."
140,I was educated once - it took me years to get over it.
343,Why waste your money looking up your family tree? Just go into politics and your opponent will do it for you.
1391,Kindness is the language which the deaf can hear and the blind can see.
2428,"Never argue with stupid people, they will drag you down to their level and then beat you with experience."
103,Good decisions come from experience. Experience comes from making bad decisions.
637,Give every day the chance to become the most beautiful day of your life.
359,"When I was 17, my father was so stupid, I didn't want to be seen with him in public. When I was 24, I was amazed at how much the old man had learned in just 7 years."
808,"If you don't read the newspaper, you're uninformed. If you read the newspaper, you're mis-informed."
869,The two most important days in your life are the day you are born and the day you find out why.
708,"How easy it is to make people believe a lie, and [how] hard it is to undo that work again!"
278,Continuous improvement is better than delayed perfection.
231,"If we were meant to talk more than listen, we would have two mouths and one ear."
570,If voting made any difference they wouldn't let us do it.
70,"The older I get, the more clearly I remember things that never happened."
454,"Whenever you find yourself on the side of the majority, it is time to pause and reflect."
548,Worrying is like paying a debt you don't owe.
82,"If you want to change the future, you must change what you're doing in the present."
72,"Some people bring joy wherever they go, and some people bring joy whenever they go."
298,"If you tell the truth, you don't have to remember anything."
331,"Just because you’re taught that something’s right and everyone believes it’s right, it don’t make it right."
31,"If your only tool is a hammer, everything starts to look like a nail."
510,"The secret of getting ahead is getting started. The secret of getting started is breaking your complex overwhelming tasks into small manageable tasks, and starting on the first one."
254,"The average woman would rather have beauty than brains, because the average man can see better than he can think."
75,Don't wrestle with pigs. You both get dirty and the pig likes it.
308,"Focus more on your desire than on your doubt, and the dream will take care of itself."
118,Do not complain about growing old. It is a privilege denied to many.
123,"Our lives, our liberty, and our property are never in greater danger than when Congress is in session."
142,"If you have no will to change it, you have no right to criticize it."
84,Never miss an opportunity to shut up.
212,It's better to be an optimist who is sometimes wrong than a pessimist who is always right
80,Temper is what gets most of us into trouble.  Pride is what keeps us there.
38,"If ignorance is bliss, why isn't the world happier?"
591,Never allow someone to be your priority while allowing yourself to be their option.
64,"Consider the average intelligence of the common man, then realize 50% are even stupider."
176,"Never argue with a fool, onlookers may not be able to tell the difference."
87,"A little more kindness, A little less speed, A little more giving, A little less greed, A little more smile, A little less frown, A little less kicking, A man while he's down, A little more ""We"", A little less ""I"", A little more laugh, A little less cry, A little more flowers, On the pathway of life, And fewer on graves, At the end of the strife."
324,Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.
485,The trouble with the world is not that people know too little; it's that they know so many things that just aren't so.
68,Nothing spoils a good story like the arrival of an eyewitness.
729,"The more I learn about people, the more I like my dog."
520,"To be great, truly great, you have to be the kind of person who makes the others around you great."
414,"Success is a journey, not a destination. It requires constant effort, vigilance and reevaluation."
649,You meet people who forget you. You forget people you meet. But sometimes you meet those people you can't forget. Those are your 'friends
11,The world doesn't owe you anything. It was here first.
66,"There are laws to protect the freedom of the press's speech, but none that are worth anything to protect the people from the press"
105,We have the best government that money can buy.
9,I am pushing sixty. That is enough exercise for me.
42,"Every civilization carries the seeds of its own destruction, and the same cycle shows in them all. The Republic is born, flourishes, decays into plutocracy, and is captured by the shoemaker whom the mercenaries and millionaires make into a king. The people invent their oppressors, and the oppressors serve the function for which they are invented."
