heart_count,quote
549,"If a thing is worth doing, it is worth doing well. If it is worth having, it is worth waiting for. If it is worth attaining, it is worth fighting for. If it is worth experiencing, it is worth putting aside time for."
650,"To live is the rarest thing in the world. Most people exist, that is all."
578,"Some cause happiness wherever they go; others, whenever they go."
349,"Placerea este testul naturii, semnul ei aprobator."
829,"Everyone may not be good, but there's always something good in everyone. Never judge anyone shortly because every saint has a past and every sinner has a future."
490,It's beauty that captures your attention. personality which captures your heart.
52,Conformity is the last refuge of the unimaginitive
406,Selfishness is not living your life as you wish to live it. Selfishness is wanting others to live their lives as you wish them to.
75,"An optimist will tell you the glass is half-full; the pessimist, half-empty; and the engineer will tell you the glass is twice the size it needs to be."
630,Be yourself; everyone else is taken.
690,"Religion is like a blind man looking in a black room for a black cat that isn't there, and finding it."
69,"The answers are all out there, we just need to ask the right questions."
126,"We are all in the gutter, but some of us are looking at the stars."
18,"Men as a rule love with their eyes, woman with their ears."
123,A pessimist is somebody who complains about the noise when opportunity knocks.
84,"If you cannot write well, you cannot think well; if you cannot think well, others will do your thinking for you."
23,"Children start out loving their parents, but as they grow older and discover their parents are human, they become judgmental. And sometimes, when they mature, they forgive their parents, especially when they discover they are also human."
88,The best way to enjoy your job is to imagine yourself without one.
46,"God grant me the serenity to accept that people are ignorant, the courage to uphold the law when I'm hostile, & the wisdom to realize that murder is illegal."
45,Morality is simply the attitude we adopt towards people whom we personally dislike.
145,Live! Live the wonderful life that is in you! Let nothing be lost upon you. Be always searching for new sensations. Be afraid of nothing.
134,"Most people are other people. Their thoughts are someone else's opinions, their lives a mimicry, their passions a quotation."
169,What seems to us as bitter trials are often blessings in disguise
118,"With age comes wisdom, but sometimes age comes alone."
50,Many of the great achievements of the world were accomplished by tired and discouraged men who kept on working.
163,No man is rich enough to buy back his past.
257,"The only people I would care to be with now are artists and people who have suffered: those who know what beauty is, and those who know what sorrow is: nobody else interests me."
98,A good friend will always stab you in the front.
37,"Marriage is a long, dull meal with dessert served at the beginning."
115,"Education is an admirable thing, but it is well to remember from time to time that nothing that is worth knowing can be taught."
72,Cats are put on earth to remind us that not everything has a purpose.
172,"Every saint has a past, and every sinner has a future."
26,Life is too short to be taken seriously.
70,I have no objection to anyone's sex life as long as they don't practice it in the street and frighten the horses.
332,Never love anyone who treats you like you're ordinary.
603,"Women are made to be loved, not understood."
220,"People may fail many times, but they become failures only when they begin to blame someone else. Always forgive your enemies; nothing annoys them so much."
23,A passion for pleasure is the secret of remaining young.
111,It is absurd to divide people into good and bad. People are either charming or tedious.
119,Democracy means simply the bludgeoning of the people by the people for the people.
171,We live in an age when unnecessary things are our only necessities.
332,"If you want to tell people the truth, make them laugh, otherwise they'll kill you."
36,"It's not whether you win or lose, it's how you place the blame."
13,Ambition is the last refuge of the failure.
198,"There are moments when one has to choose between living one's own life, fully, entirely, completely-or dragging out some false, shallow, degrading existence that the world in its hypocrisy demands."
23,Ridicule is the tribute paid to the genius by the mediocrities.
47,To look at a thing is very different from seeing it.
120,"The man who says his wife can't take a joke, forgets that she took him."
128,I love to talk about nothing. It's the only thing I know anything about.
25,"Appearance blinds, whereas words reveal."
500,I am so clever that sometimes I don't understand a single word of what I am saying.
115,"Some people always know the price, but not the value"
53,The only one you need in your life is that person who shows you he needs you in his.
93,"Ultimately the bond of all companionship, whether in marriage or in friendship, is conversation."
11,Learn to differentiate between ignorance and stupidity.
54,"Put your talent into your work, but your genius into your life."
203,Always borrow money from a pessimist. He won't expect it back.
116,"Two men look out a window. One sees mud, the other sees the stars."
214,Keep love in your heart. A life without it is like a sunless garden when the flowers are dead. The consciousness of loving and being loved brings a warmth and a richness to life that nothing else can bring.
71,To define is to limit.
232,I don't want to go to heaven. None of my friends are there.
23,Anyone who lives within their means suffers from a lack of imagination.
33,Nature: a place where birds fly around uncooked
177,Experience is simply the name we give our mistakes.
84,"If you cannot prove a man wrong, don't panic. You can always call him names."
80,"The old believe everything, the middle-aged suspect everything, the young know everything."
78,The truth is rarely pure and never simple.
34,I refuse to have a battle of wits with an unarmed man.
239,"They've promised that dreams can come true - but forgot to mention that nightmares are dreams, too."
154,"True contentment is not having everything, but in being satisfied with everything you have."
26,Society exists only as a mental concept; in the real world there are only individuals.
15,Quotation is a serviceable substitute for wit.
199,Don't be discouraged if your children reject your advice. Years later they will offer it to their own offspring.
37,"In war, the strong make slaves of the weak, and in peace the rich makes slaves of the poor."
16,Only the shallow know themselves.
32,Circumstances should never alter principles!
177,"Death must be so beautiful. To lie in the soft brown earth, with the grasses waving above one's head, and listen to silence. To have no yesterday, and no tomorrow. To forget time, to forgive life, to be at peace."
88,Simple pleasures are the last healthy refuge in a complex world.
46,"The moment that an artist takes notice of what other people want, and tries to supply the demand, he ceases to be an artist."
52,Marriage is the triumph of imagination over intelligence. Second marriage is the triumph of hope over experience.
111,"It is perfectly possible to get what you think you want and be miserable. It's possible too, to never get it but deeply enjoy the process of trying. In this world, there are only two tragedies. One is not getting what one wants, and the other is getting it."
92,Bigamy is having one wife too many. Monogamy is the same.
16,"The secret to life is to enjoy the pleasure of being terribly, terribly deceived."
75,Everybody who is incapable of learning has taken to teaching.
7,To be popular one must be a mediocrity.
38,You are Beautiful when you are happy
172,"In love, it is better to know and be disappointed, than to not know and always wonder."
75,Don't use big words. They mean so little.
8,"The systems that fail are those that rely on the permanency of human nature, and not its growth and development."
188,"Between men and women there is no friendship possible. There is passion, enmity, worship, love, but no friendship."
25,The only thing I cannot resist is temptation.
17,The only horrible thing in the world is ennui.
115,Crying is for plain women. Pretty women go shopping.
22,Just be your self. Everybody else is already taken.
36,Love is like a war; easy to start but hard to end and you never know where it might take you.
25,"To give and not expect return, that is what lies at the heart of love."
86,"If you want to be a grocer, or a general, or a politician, or a judge, you will invariably become it; that is your punishment. If you never know what you want to be, if you live what some might call the dynamic life but what I will call the artistic life, if each day you are unsure of who you are and what you know you will never become anything, and that is your reward."
25,"Anyone can sympathize with the sufferings of a friend, but it requires a very fine nature to sympathize with a friend's success."
13,"Life is never fair, and perhaps it is a good thing for most of us that it is not."
10,The emotions of man are stirred more quickly than man’s intelligence.
30,To have become a deeper man is the privilege of those who have suffered.
44,"If you don't get everything you want, think of the things you don't get that you don't want."
81,"Disobedience, in the eyes of any one who has read history, is man's original virtue. It is through disobedience that progress has been made, through disobedience and through rebellion."
53,"With freedom, books, flowers, and the moon, who could not be happy?"
96,Ordinary riches can be stolen; real riches cannot. In your soul are infinitely precious things that cannot be taken from you.
59,Always be a little unexpected.
20,"Be moderate in all things, including moderation."
40,"I never forget a face, but in your case I'll make an exception."
6,The only way to get rid of tempation is to yeild to it.
40,You can never be overdressed or overeducated.
6,One's dreams must be big enough so as not to lose sight of them.
25,To regret one’s own experiences is to arrest one’s own development. To deny one’s own experiences is to put a lie into the lips of one’s own life. It is no less than a denial of the soul.
18,The world was my oyster but I used the wrong fork.
34,"Selfishness is not living as one wishes to live; it is asking others to live as one wishes to live. And unselfishness is letting other people's lives alone, not interfering with them. Selfishness always aims at uniformity of type. Unselfishness recognizes infinite variety of type as a delightful thing, accepts it, acquiesces in it, enjoys it."
29,"When both a speaker and an audience are confused, the speech is profound."
230,"The final mystery is oneself. When one has weighed the sun in the balance, and measured the steps of the moon, and mapped out the seven heavens star by star, there still remains oneself. Who can calculate the orbit of his own soul?"
95,"If a friend of mine gave a feast, and did not invite me to it, I should not mind a bit. but if a friend of mine had a sorrow and refused to allow me to share it, I should feel it most bitterly. If he shut the doors of the house of mourning against me, I would move back again and again and beg to be admitted so that I might share in what I was entitled to share. If he thought me unworthy, unfit to weep with him, I should feel it as the most poignant humiliation."
89,Don't be afraid. There are exquisite things in store for you. This is merely the beginning.
29,"Hear no evil, speak no evil, and you won't be invited to cocktail parties."
23,People who count their chickens before they are hatched act very wisely because chickens run about so absurdly that it's impossible to count them accurately.
62,The soul is born old but grows young. That is the comedy of life.
35,The best revenge is to live well.
68,Life is too short to learn German
52,I never put off till tomorrow what I can do the day after.
83,One should always be in love. That is the reason one should never marry.
60,"Between the optimist and the pessimist, the difference is droll. The optimist sees the doughnut; the pessimist the hole!"
31,Imitation is the sincerest form of flattery that mediocrity can pay to greatness.
17,An idea that isn't risky is hardly worth calling an idea.
8,Live the wonderful life that is in you.
124,Always forgive your enemies - nothing annoys them so much.
8,How does one cure the soul? Through the senses
78,A man who does not think for himself does not think at all.
29,"A man can be happy with any woman, as long as he does not love her."
120,Love will fly if held too lightly Love will die if held too tightly . . .
256,"We are each our own devil, and we make this world our hell."
67,"I have a simple taste, only the best."
72,A man's face is his autobiography. A woman's face is her work of fiction.
49,Sooner or later we have all to pay for what we do.
