author,image,quote
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,"Things may come to those who wait, but only the things left by those who hustle."
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,Those who look for the bad in people will surely find it.
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,That some achieve great success is proof to all that others can achieve it as well.
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,The best way to predict your future is to create it.
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,"In the end, it's not the years in your life that count. It's the life in your years."
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,The best way to predict the future is to create it.
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,"I would rather be a little nobody, then to be an evil somebody."
Abraham Lincoln,https://zenquotes.io/img/abraham-lincoln.jpg,"Whatever you are, be a good one."
Adi Da Samraj,https://zenquotes.io/img/adi-da-samraj.jpg,Relax. Nothing is under control.
Adi Da Samraj,https://zenquotes.io/img/adi-da-samraj.jpg,"Fear of death is fear of surrender to Infinity. Learn to surrender, to exist at Infinity while alive, and fear of death dissolves."
Adi Da Samraj,https://zenquotes.io/img/adi-da-samraj.jpg,Everything eaten is killed. Every meal is a sacrifice.
Adi Da Samraj,https://zenquotes.io/img/adi-da-samraj.jpg,Fear of death is fear of the Unknown.
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,"The only way to make sense out of change is to plunge into it, move with it, and join the dance."
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,"To travel is to be alive, but to get somewhere is to be dead."
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,There will always be suffering. But we must not suffer over the suffering.
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,Muddy water is best cleared by leaving it alone.
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,You are a function of what the whole universe is doing in the same way that a wave is a function of what the whole ocean is doing.
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,"Just as true humor is laughter at oneself, true humanity is knowledge of oneself."
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,"This is the real secret of life - to be completely engaged with what you are doing in the here and now. And instead of calling it work, realize it is play."
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,Trying to define yourself is like trying to bite your own teeth.
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,No valid plans for the future can be made by those who have no capacity for living now.
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,The meaning of life is just to be alive. It is so plain and so obvious and so simple.
Alan Watts,https://zenquotes.io/img/alan-watts.jpg,"It's better to have a short life that is full of what you like doing, than a long life spent in a miserable way."
